"Model","Mean_Accuracy","Drift_Count","Batch","most_important","model"
"HDDM_A","   0.7834232","0",10,"feature_1","rf"
"HDDM_W","   0.7794352","2",10,"feature_1","rf"
"KSWIN","   0.8218772","10",10,"feature_1","rf"
"PageHinkley","   0.7834232","0",10,"feature_1","rf"
"DDM","   0.7834232","0",10,"feature_1","rf"
"EDDM","   0.7834232","0",10,"feature_1","rf"
"PDD","   0.7831229","1",10,"feature_1","rf"
"Base Test","   0.6524345","0",10,"feature_1","rf"
"Base Train","   0.9992498","0",10,"feature_1","rf"
"batch sizes","5332.0000000","1334",10,"feature_1","rf"
"HDDM_A","   0.8661648","1",10,"feature_1","logistic"
"HDDM_W","   0.8376629","1",10,"feature_1","logistic"
"KSWIN","   0.8639125","9",10,"feature_1","logistic"
"PageHinkley","   0.8648479","0",10,"feature_1","logistic"
"DDM","   0.8648479","0",10,"feature_1","logistic"
"EDDM","   0.8648479","0",10,"feature_1","logistic"
"PDD","   0.8648479","0",10,"feature_1","logistic"
"Base Test","   0.6164794","0",10,"feature_1","logistic"
"Base Train","   0.7319955","0",10,"feature_1","logistic"
"batch sizes","5332.0000000","1334",10,"feature_1","logistic"
"HDDM_A","   0.8398463","0",10,"feature_1","tree"
"HDDM_W","   0.8398463","0",10,"feature_1","tree"
"KSWIN","   0.8520119","9",10,"feature_1","tree"
"PageHinkley","   0.8398463","0",10,"feature_1","tree"
"DDM","   0.8398463","0",10,"feature_1","tree"
"EDDM","   0.8496149","10",10,"feature_1","tree"
"PDD","   0.8435333","1",10,"feature_1","tree"
"Base Test","   0.7078652","0",10,"feature_1","tree"
"Base Train","   0.7406227","0",10,"feature_1","tree"
"batch sizes","5332.0000000","1334",10,"feature_1","tree"
"HDDM_A","   0.6809345","1",20,"feature_1","rf"
"HDDM_W","   0.7615481","3",20,"feature_1","rf"
"KSWIN","   0.8143987","17",20,"feature_1","rf"
"PageHinkley","   0.7033470","1",20,"feature_1","rf"
"DDM","   0.7289697","3",20,"feature_1","rf"
"EDDM","   0.8072053","16",20,"feature_1","rf"
"PDD","   0.7188514","4",20,"feature_1","rf"
"Base Test","   0.6691635","0",20,"feature_1","rf"
"Base Train","   0.9984375","0",20,"feature_1","rf"
"batch sizes","3200.0000000","800",20,"feature_1","rf"
"HDDM_A","   0.8204031","2",20,"feature_1","logistic"
"HDDM_W","   0.8455502","3",20,"feature_1","logistic"
"KSWIN","   0.8458475","13",20,"feature_1","logistic"
"PageHinkley","   0.8186790","1",20,"feature_1","logistic"
"DDM","   0.8070864","1",20,"feature_1","logistic"
"EDDM","   0.8484632","13",20,"feature_1","logistic"
"PDD","   0.6792135","0",20,"feature_1","logistic"
"Base Test","   0.6716604","0",20,"feature_1","logistic"
"Base Train","   0.7121875","0",20,"feature_1","logistic"
"batch sizes","3200.0000000","800",20,"feature_1","logistic"
"HDDM_A","   0.7669580","3",20,"feature_1","tree"
"HDDM_W","   0.7752214","2",20,"feature_1","tree"
"KSWIN","   0.8428750","17",20,"feature_1","tree"
"PageHinkley","   0.7014446","1",20,"feature_1","tree"
"DDM","   0.7014446","1",20,"feature_1","tree"
"EDDM","   0.8561917","15",20,"feature_1","tree"
"PDD","   0.8242197","15",20,"feature_1","tree"
"Base Test","   0.7265918","0",20,"feature_1","tree"
"Base Train","   0.7093750","0",20,"feature_1","tree"
"batch sizes","3200.0000000","800",20,"feature_1","tree"
"HDDM_A","   0.6266639","1",30,"feature_1","rf"
"HDDM_W","   0.7535565","6",30,"feature_1","rf"
"KSWIN","   0.7947509","22",30,"feature_1","rf"
"PageHinkley","   0.6266639","1",30,"feature_1","rf"
"DDM","   0.6266639","1",30,"feature_1","rf"
"EDDM","   0.7957470","24",30,"feature_1","rf"
"PDD","   0.5098774","0",30,"feature_1","rf"
"Base Test","   0.4799302","0",30,"feature_1","rf"
"Base Train","   0.9978118","0",30,"feature_1","rf"
"batch sizes","2285.0000000","572",30,"feature_1","rf"
"HDDM_A","   0.7568473","3",30,"feature_1","logistic"
"HDDM_W","   0.8152498","4",30,"feature_1","logistic"
"KSWIN","   0.8285092","18",30,"feature_1","logistic"
"PageHinkley","   0.7454572","2",30,"feature_1","logistic"
"DDM","   0.7454572","2",30,"feature_1","logistic"
"EDDM","   0.8347676","5",30,"feature_1","logistic"
"PDD","   0.5219424","0",30,"feature_1","logistic"
"Base Test","   0.5113438","0",30,"feature_1","logistic"
"Base Train","   0.7579869","0",30,"feature_1","logistic"
"batch sizes","2285.0000000","572",30,"feature_1","logistic"
"HDDM_A","   0.6921206","3",30,"feature_2","tree"
"HDDM_W","   0.7315515","4",30,"feature_2","tree"
"KSWIN","   0.8161557","19",30,"feature_2","tree"
"PageHinkley","   0.6929440","1",30,"feature_2","tree"
"DDM","   0.7282867","3",30,"feature_2","tree"
"EDDM","   0.8378894","11",30,"feature_2","tree"
"PDD","   0.4924151","1",30,"feature_2","tree"
"Base Test","   0.4275742","0",30,"feature_2","tree"
"Base Train","   0.7575492","0",30,"feature_2","tree"
"batch sizes","2285.0000000","572",30,"feature_2","tree"
